venta_id;product_id;cantidad;precio_unitario;subtotal
49;192;1;24.99;24.99
49;611;2;19.99;39.98
50;591;1;59.99;59.99
50;72;3;109.99;329.97
51;565;3;39.99;119.97
52;508;3;39.99;119.97
52;467;2;28.99;57.98
53;909;3;1.99;5.97
53;319;2;3.79;7.58
53;428;3;1.49;4.47
54;412;2;15.99;31.98
55;66;1;34.99;34.99
55;174;3;12.99;38.97
55;674;3;19.99;59.97
56;824;3;2.99;8.97
56;327;3;2.99;8.97
56;943;2;8.49;16.98
57;63;1;22.99;22.99
57;483;2;2.99;5.98
57;546;3;49.99;149.97
57;171;3;24.99;74.97
58;762;3;28.99;86.97
58;877;3;29.99;89.97
59;891;2;8.49;16.98
59;738;3;4.29;12.87
59;710;2;24.99;49.98
60;82;3;22.99;68.97
60;142;1;89.99;89.99
61;197;1;3.89;3.89
61;722;1;49.99;49.99
62;766;3;2.99;8.97
63;153;1;29.99;29.99
63;195;2;199.99;399.98
63;942;1;7.49;7.49
64;338;3;4.29;12.87
64;557;1;5.49;5.49
64;728;2;8.99;17.98
65;102;3;2.99;8.97
65;19;2;5.99;11.98
65;415;1;39.99;39.99
66;423;3;2.99;8.97
67;492;1;4.49;4.49
68;866;2;24.99;49.98
69;208;3;4.49;13.47
69;129;2;3.49;6.98
70;383;2;4.29;8.58
70;913;2;4.19;8.38
71;792;2;3.49;6.98
71;48;2;19.99;39.98
72;584;3;24.99;74.97
72;271;3;2.99;8.97
72;777;3;9.99;29.97
73;807;2;5.99;11.98
73;26;2;3.49;6.98
74;633;2;79.99;159.98
74;59;2;199.99;399.98
75;636;2;99.99;199.98
75;241;3;5.79;17.37
76;478;3;2.99;8.97
77;438;2;199.99;399.98
78;561;3;34.99;104.97
78;365;1;22.99;22.99
79;551;3;54.99;164.97
79;122;3;1.49;4.47
80;68;1;49.99;49.99
81;430;1;1.99;1.99
81;888;3;22.99;68.97
81;737;3;2.99;8.97
81;927;2;39.99;79.98
81;409;3;49.99;149.97
82;757;2;4.29;8.58
82;76;2;8.49;16.98
82;696;3;3.79;11.37
83;363;1;10.99;10.99
84;477;3;3.49;10.47
85;899;1;29.99;29.99
85;803;1;14.99;14.99
86;156;1;1.99;1.99
87;497;2;45.99;91.98
88;553;2;3.49;6.98
88;264;3;19.99;59.97
88;365;2;22.99;45.98
89;132;3;89.99;269.97
89;857;1;3.49;3.49
90;414;1;3.99;3.99
90;473;1;3.99;3.99
91;96;2;19.99;39.98
91;313;3;5.99;17.97
92;556;2;3.99;7.98
92;794;1;1.99;1.99
93;812;2;24.99;49.98
93;921;1;29.99;29.99
93;706;1;3.99;3.99
94;908;3;5.99;17.97
95;72;1;109.99;109.99
95;107;1;59.99;59.99
96;765;2;29.99;59.98
96;262;2;39.99;79.98
96;785;2;3.99;7.98
96;77;2;49.99;99.98
97;555;2;14.99;29.98
97;414;1;3.99;3.99
98;269;1;8.49;8.49
99;122;3;1.49;4.47
99;39;1;4.29;4.29
100;637;3;5.29;15.87
101;12;2;49.99;99.98
101;172;3;89.99;269.97
101;185;1;8.99;8.99
101;647;3;29.99;89.97
101;355;2;15.99;31.98
102;456;3;5.99;17.97
102;949;1;29.99;29.99
103;951;3;8.49;25.47
103;435;2;49.99;99.98
103;745;1;199.00;199.00
103;687;3;1.99;5.97
104;431;1;4.99;4.99
104;445;2;39.99;79.98
104;873;2;29.99;59.98
105;697;1;6.99;6.99
105;984;2;15.99;31.98
106;666;2;39.99;79.98
107;151;2;39.99;79.98
107;349;2;44.99;89.98
108;901;1;4.99;4.99
108;360;1;3.99;3.99
109;323;3;44.99;134.97
109;424;3;11.99;35.97
109;873;2;29.99;59.98
110;96;2;19.99;39.98
110;509;3;26.99;80.97
111;69;3;34.99;104.97
112;859;3;39.99;119.97
112;366;3;1.29;3.87
112;318;3;8.99;26.97
112;593;3;19.99;59.97
113;510;3;3.49;10.47
113;181;1;24.99;24.99
114;532;1;2.99;2.99
114;467;2;28.99;57.98
115;322;3;3.29;9.87
115;202;1;15.99;15.99
115;858;1;34.99;34.99
115;394;2;22.99;45.98
116;501;1;29.99;29.99
116;872;2;3.29;6.58
117;969;3;129.99;389.97
117;279;3;22.99;68.97
117;226;3;29.99;89.97
118;514;1;19.99;19.99
118;536;3;19.99;59.97
118;181;3;24.99;74.97
119;151;3;39.99;119.97
119;258;3;16.99;50.97
120;786;3;4.99;14.97
120;10;1;59.99;59.99
121;589;3;12.99;38.97
122;409;1;49.99;49.99
122;60;2;1.89;3.78
123;66;1;34.99;34.99
123;947;3;4.99;14.97
124;520;3;4.99;14.97
124;588;3;39.99;119.97
125;665;3;3.49;10.47
125;442;3;1.99;5.97
126;668;3;12.99;38.97
126;881;3;6.49;19.47
126;31;2;34.99;69.98
127;988;3;59.99;179.97
127;363;2;10.99;21.98
127;593;1;19.99;19.99
128;500;3;8.99;26.97
128;80;3;59.99;179.97
128;857;1;3.49;3.49
129;607;3;69.99;209.97
130;596;3;5.49;16.47
131;717;1;3.49;3.49
132;788;1;5.99;5.99
132;704;1;1.49;1.49
132;963;1;2.99;2.99
133;955;3;4.99;14.97
134;320;1;3.29;3.29
134;197;3;3.89;11.67
135;833;3;25.99;77.97
136;687;1;1.99;1.99
137;879;3;3.99;11.97
137;712;2;35.99;71.98
137;752;2;2.09;4.18
137;479;3;24.99;74.97
138;593;2;19.99;39.98
139;663;3;79.99;239.97
139;793;3;59.99;179.97
139;695;3;3.29;9.87
140;353;2;1.79;3.58
141;170;3;3.99;11.97
142;858;1;34.99;34.99
142;501;3;29.99;89.97
143;10;3;59.99;179.97
144;745;2;199.00;398.00
145;115;3;19.99;59.97
146;749;2;44.99;89.98
146;37;2;3.49;6.98
147;389;2;29.99;59.98
147;903;2;2.79;5.58
148;301;2;3.29;6.58
148;645;3;1.79;5.37
148;842;2;3.99;7.98
148;109;3;34.99;104.97
148;534;2;24.99;49.98
148;268;2;19.99;39.98
149;395;2;4.49;8.98
150;432;3;5.99;17.97
150;724;3;24.99;74.97
151;321;1;5.89;5.89
152;639;2;9.99;19.98
152;69;2;34.99;69.98
152;913;2;4.19;8.38
153;918;2;3.29;6.58
153;543;2;2.99;5.98
153;447;3;4.49;13.47
154;98;2;14.99;29.98
154;561;3;34.99;104.97
154;451;2;49.99;99.98
155;169;3;34.99;104.97
155;900;2;12.99;25.98
156;891;3;8.49;25.47
157;149;2;34.99;69.98
158;64;2;4.49;8.98
159;936;1;59.99;59.99
159;336;2;4.99;9.98
159;113;2;15.99;31.98
160;1000;2;99.99;199.98
160;745;3;199.00;597.00
160;386;3;24.99;74.97
161;761;3;3.49;10.47
162;894;2;59.99;119.98
162;661;1;34.99;34.99
163;97;3;12.99;38.97
164;997;1;3.79;3.79
165;203;1;49.99;49.99
166;202;2;15.99;31.98
166;475;2;12.99;25.98
167;242;2;24.99;49.98
167;439;2;24.99;49.98
168;689;2;29.99;59.98
168;853;2;2.49;4.98
168;798;1;3.99;3.99
169;818;2;3.99;7.98
170;187;3;34.99;104.97
171;484;2;39.99;79.98
172;736;2;4.19;8.38
173;29;3;2.29;6.87
173;276;2;12.99;25.98
174;973;1;29.99;29.99
174;905;3;99.99;299.97
175;137;1;25.99;25.99
176;807;1;5.99;5.99
177;899;3;29.99;89.97
177;864;2;19.99;39.98
177;946;2;24.99;49.98
177;259;1;4.19;4.19
178;133;2;15.99;31.98
179;8;3;39.99;119.97
180;604;3;2.49;7.47
181;718;2;1.99;3.98
181;519;1;10.99;10.99
182;245;1;19.99;19.99
183;243;3;6.99;20.97
183;493;3;8.49;25.47
184;640;3;9.99;29.97
184;230;3;59.99;179.97
185;176;1;24.99;24.99
185;720;2;4.99;9.98
186;596;3;5.49;16.47
186;925;2;79.99;159.98
187;204;1;29.99;29.99
187;732;2;89.99;179.98
188;140;1;69.99;69.99
188;655;1;15.99;15.99
188;736;1;4.19;4.19
188;793;1;59.99;59.99
189;159;3;19.99;59.97
189;233;3;29.99;89.97
189;627;1;6.29;6.29
190;251;3;49.99;149.97
191;795;1;39.99;39.99
192;959;1;22.99;22.99
193;59;2;199.99;399.98
193;953;3;3.29;9.87
194;695;3;3.29;9.87
195;748;2;2.09;4.18
196;969;1;129.99;129.99
197;286;3;2.79;8.37
197;95;1;24.99;24.99
198;876;1;29.99;29.99
198;64;1;4.49;4.49
199;118;1;9.99;9.99
199;76;1;8.49;8.49
199;10;3;59.99;179.97
200;601;2;3.69;7.38
201;278;3;4.50;13.50
201;341;2;3.49;6.98
201;110;1;249.99;249.99
202;656;3;3.99;11.97
203;126;1;14.99;14.99
204;280;1;5.99;5.99
204;873;1;29.99;29.99
205;571;2;49.99;99.98
205;825;1;49.99;49.99
206;52;2;24.99;49.98
206;34;1;18.99;18.99
206;308;1;59.99;59.99
207;281;3;2.99;8.97
208;28;3;79.99;239.97
208;759;2;34.99;69.98
209;603;3;32.99;98.97
209;347;3;18.99;56.97
210;393;2;2.99;5.98
210;402;3;19.99;59.97
211;279;1;22.99;22.99
212;974;3;7.99;23.97
213;674;2;19.99;39.98
214;244;3;39.99;119.97
215;403;2;2.99;5.98
216;243;1;6.99;6.99
216;774;2;34.99;69.98
216;915;3;69.99;209.97
217;439;3;24.99;74.97
218;917;1;3.49;3.49
218;546;3;49.99;149.97
219;83;2;39.99;79.98
219;302;1;59.99;59.99
219;594;1;29.99;29.99
220;883;2;1.29;2.58
220;901;2;4.99;9.98
221;181;1;24.99;24.99
222;462;2;4.79;9.58
223;335;2;39.99;79.98
223;139;2;9.99;19.98
224;829;1;34.99;34.99
225;747;3;49.99;149.97
225;246;1;24.99;24.99
226;287;2;5.99;11.98
226;807;3;5.99;17.97
226;522;3;4.49;13.47
227;250;3;14.99;44.97
227;724;3;24.99;74.97
227;102;1;2.99;2.99
228;898;3;199.99;599.97
229;993;1;39.99;39.99
230;382;2;19.99;39.98
230;882;3;49.99;149.97
231;163;1;359.99;359.99
232;845;1;5.99;5.99
233;343;3;5.49;16.47
234;255;3;12.99;38.97
235;968;3;2.49;7.47
235;375;2;10.99;21.98
235;549;3;3.99;11.97
236;425;3;29.99;89.97
236;909;2;1.99;3.98
236;304;2;89.99;179.98
237;195;3;199.99;599.97
237;751;1;1.99;1.99
238;147;2;59.99;119.98
238;931;3;9.99;29.97
238;708;2;29.99;59.98
238;849;3;49.99;149.97
239;443;3;2.99;8.97
240;919;1;34.99;34.99
240;883;3;1.29;3.87
240;962;3;5.99;17.97
240;968;2;2.49;4.98
240;332;1;3.29;3.29
241;471;2;19.99;39.98
241;983;3;24.99;74.97
242;264;3;19.99;59.97
242;646;2;3.49;6.98
243;520;1;4.99;4.99
243;597;1;1.99;1.99
243;412;3;15.99;47.97
243;736;3;4.19;12.57
244;50;3;1.50;4.50
244;692;1;24.99;24.99
244;335;2;39.99;79.98
245;217;1;15.99;15.99
246;26;1;3.49;3.49
246;187;2;34.99;69.98
246;571;1;49.99;49.99
247;650;2;4.99;9.98
248;700;3;5.99;17.97
248;290;3;7.49;22.47
249;890;1;39.99;39.99
249;626;3;2.99;8.97
249;814;1;15.99;15.99
250;570;3;3.89;11.67
250;479;2;24.99;49.98
250;639;2;9.99;19.98
251;618;2;34.99;69.98
251;874;1;4.29;4.29
252;631;1;12.99;12.99
252;986;3;35.00;105.00
253;181;1;24.99;24.99
254;50;2;1.50;3.00
254;494;2;14.99;29.98
254;286;2;2.79;5.58
254;381;3;12.99;38.97
254;49;2;19.99;39.98
255;301;1;3.29;3.29
255;221;3;4.29;12.87
256;161;2;2.99;5.98
256;668;3;12.99;38.97
256;506;1;1.99;1.99
256;977;1;39.99;39.99
257;174;3;12.99;38.97
257;348;1;89.99;89.99
258;309;2;49.99;99.98
258;617;1;59.99;59.99
259;134;2;22.99;45.98
260;209;1;3.49;3.49
261;580;3;12.99;38.97
261;750;3;39.99;119.97
262;453;1;4.99;4.99
262;423;2;2.99;5.98
262;332;1;3.29;3.29
263;16;2;19.99;39.98
264;977;2;39.99;79.98
265;512;1;5.79;5.79
265;186;1;5.49;5.49
266;516;1;2.99;2.99
266;980;3;59.99;179.97
267;32;3;29.99;89.97
268;310;1;24.99;24.99
268;825;3;49.99;149.97
269;628;1;4.49;4.49
270;820;2;19.99;39.98
270;556;1;3.99;3.99
271;792;1;3.49;3.49
271;531;2;16.99;33.98
272;394;2;22.99;45.98
272;97;1;12.99;12.99
273;196;1;9.49;9.49
273;902;1;3.79;3.79
274;576;2;29.99;59.98
274;550;2;5.99;11.98
275;100;1;6.99;6.99
276;240;2;3.99;7.98
276;585;1;5.49;5.49
276;318;2;8.99;17.98
276;38;3;99.99;299.97
277;355;3;15.99;47.97
278;88;1;4.29;4.29
278;564;3;14.99;44.97
278;241;2;5.79;11.58
279;741;3;30.00;90.00
279;350;3;6.49;19.47
280;384;2;29.99;59.98
281;344;2;4.49;8.98
281;603;3;32.99;98.97
282;438;2;199.99;399.98
282;427;2;89.99;179.98
282;466;3;39.99;119.97
283;666;1;39.99;39.99
283;353;1;1.79;1.79
284;906;1;99.99;99.99
284;443;1;2.99;2.99
285;509;2;26.99;53.98
285;471;2;19.99;39.98
286;571;1;49.99;49.99
286;880;3;6.49;19.47
287;708;2;29.99;59.98
287;963;2;2.99;5.98
288;510;2;3.49;6.98
288;459;2;19.99;39.98
289;133;2;15.99;31.98
290;777;1;9.99;9.99
290;326;3;4.29;12.87
290;305;2;19.99;39.98
291;183;3;3.99;11.97
291;42;2;1.49;2.98
291;772;3;29.99;89.97
292;153;3;29.99;89.97
293;694;1;6.49;6.49
293;711;3;34.99;104.97
293;591;2;59.99;119.98
294;459;2;19.99;39.98
295;66;3;34.99;104.97
295;938;3;2.29;6.87
295;546;1;49.99;49.99
296;150;3;39.99;119.97
297;897;1;29.99;29.99
297;172;2;89.99;179.98
298;196;1;9.49;9.49
299;710;2;24.99;49.98
299;206;1;19.99;19.99
300;161;3;2.99;8.97
300;736;2;4.19;8.38
300;578;1;59.99;59.99
301;849;2;49.99;99.98
302;284;1;3.49;3.49
302;105;2;49.99;99.98
303;196;3;9.49;28.47
303;930;2;15.99;31.98
303;890;3;39.99;119.97
304;836;3;1.99;5.97
304;80;3;59.99;179.97
304;477;2;3.49;6.98
305;747;3;49.99;149.97
306;672;1;39.99;39.99
307;625;3;5.49;16.47
307;763;2;2.49;4.98
308;665;3;3.49;10.47
308;495;3;19.99;59.97
309;874;1;4.29;4.29
310;801;2;7.99;15.98
310;138;2;8.99;17.98
310;389;3;29.99;89.97
311;481;1;39.99;39.99
311;231;2;24.99;49.98
311;64;1;4.49;4.49
312;69;3;34.99;104.97
312;896;2;3.49;6.98
313;853;2;2.49;4.98
313;457;2;249.99;499.98
313;633;1;79.99;79.99
314;680;3;39.99;119.97
315;680;3;39.99;119.97
315;19;1;5.99;5.99
316;189;3;3.29;9.87
316;506;3;1.99;5.97
316;68;2;49.99;99.98
317;965;3;2.99;8.97
318;866;1;24.99;24.99
318;181;1;24.99;24.99
319;320;3;3.29;9.87
319;35;3;3.19;9.57
320;81;1;30.00;30.00
321;87;1;1.99;1.99
321;666;1;39.99;39.99
322;444;2;24.99;49.98
323;169;1;34.99;34.99
324;662;1;6.99;6.99
324;374;1;29.99;29.99
325;154;1;4.49;4.49
325;765;3;29.99;89.97
326;963;1;2.99;2.99
326;342;3;14.99;44.97
326;973;3;29.99;89.97
327;230;2;59.99;119.98
327;439;1;24.99;24.99
327;933;2;7.99;15.98
328;957;3;4.99;14.97
328;633;3;79.99;239.97
329;103;2;12.99;25.98
329;79;1;249.99;249.99
330;342;1;14.99;14.99
330;211;2;5.99;11.98
330;102;1;2.99;2.99
331;936;2;59.99;119.98
331;140;1;69.99;69.99
332;91;1;34.99;34.99
332;14;2;12.99;25.98
333;308;1;59.99;59.99
334;952;3;15.99;47.97
334;115;3;19.99;59.97
335;119;2;4.29;8.58
335;688;3;24.99;74.97
335;935;2;4.49;8.98
336;281;1;2.99;2.99
336;565;2;39.99;79.98
337;879;3;3.99;11.97
337;514;3;19.99;59.97
337;273;3;29.99;89.97
338;733;3;3.49;10.47
339;128;2;2.29;4.58
339;334;2;17.99;35.98
339;415;2;39.99;79.98
340;107;3;59.99;179.97
341;224;3;34.99;104.97
341;402;1;19.99;19.99
342;484;3;39.99;119.97
343;865;3;1.99;5.97
343;35;1;3.19;3.19
344;826;2;14.99;29.98
345;735;2;1.99;3.98
345;784;2;2.99;5.98
345;633;3;79.99;239.97
346;230;2;59.99;119.98
346;697;1;6.99;6.99
347;397;3;119.99;359.97
347;431;2;4.99;9.98
348;422;3;6.49;19.47
348;502;3;4.99;14.97
349;159;2;19.99;39.98
349;796;3;3.69;11.07
350;18;1;39.99;39.99
351;184;3;129.99;389.97
352;269;1;8.49;8.49
352;700;3;5.99;17.97
353;439;2;24.99;49.98
353;476;1;22.99;22.99
353;834;3;14.99;44.97
354;81;3;30.00;90.00
354;565;2;39.99;79.98
355;967;2;5.49;10.98
355;251;3;49.99;149.97
355;343;3;5.49;16.47
355;417;3;4.29;12.87
355;65;3;24.99;74.97
356;187;2;34.99;69.98
356;82;1;22.99;22.99
356;229;3;1.99;5.97
357;630;2;1.49;2.98
357;718;3;1.99;5.97
357;158;1;79.99;79.99
358;330;2;34.99;69.98
358;926;3;2.99;8.97
359;435;1;49.99;49.99
360;275;3;34.99;104.97
360;272;1;129.99;129.99
361;214;1;1.99;1.99
361;913;3;4.19;12.57
362;324;2;34.99;69.98
362;139;2;9.99;19.98
363;390;3;2.99;8.97
363;327;2;2.99;5.98
364;47;2;3.99;7.98
364;717;2;3.49;6.98
365;479;1;24.99;24.99
366;361;1;19.99;19.99
367;37;1;3.49;3.49
367;765;1;29.99;29.99
367;464;2;14.99;29.98
368;223;1;39.99;39.99
368;255;3;12.99;38.97
369;304;3;89.99;269.97
370;228;2;49.99;99.98
371;659;3;29.99;89.97
372;944;2;24.99;49.98
372;512;1;5.79;5.79
372;84;3;18.99;56.97
373;898;3;199.99;599.97
373;696;2;3.79;7.58
374;658;2;3.29;6.58
375;529;2;2.49;4.98
375;386;1;24.99;24.99
376;970;3;1.29;3.87
376;963;2;2.99;5.98
377;683;1;22.99;22.99
377;541;2;89.99;179.98
378;324;1;34.99;34.99
378;16;1;19.99;19.99
379;579;2;34.99;69.98
379;254;2;39.99;79.98
379;638;3;34.99;104.97
380;973;3;29.99;89.97
380;23;1;14.99;14.99
380;111;1;5.99;5.99
381;435;1;49.99;49.99
382;586;3;59.99;179.97
382;370;1;4.19;4.19
382;776;3;1.99;5.97
383;474;1;22.99;22.99
383;544;2;22.99;45.98
384;414;3;3.99;11.97
384;387;2;3.69;7.38
385;832;1;3.79;3.79
385;818;3;3.99;11.97
385;159;2;19.99;39.98
385;69;2;34.99;69.98
386;380;3;3.29;9.87
386;708;3;29.99;89.97
386;685;2;5.99;11.98
387;31;3;34.99;104.97
388;551;2;54.99;109.98
388;754;1;4.99;4.99
389;149;2;34.99;69.98
389;637;2;5.29;10.58
389;500;3;8.99;26.97
389;372;3;24.99;74.97
390;865;1;1.99;1.99
390;893;1;4.49;4.49
390;731;1;34.99;34.99
391;974;2;7.99;15.98
391;814;1;15.99;15.99
392;403;2;2.99;5.98
392;595;3;59.99;179.97
393;591;2;59.99;119.98
393;406;2;34.99;69.98
394;380;2;3.29;6.58
394;341;2;3.49;6.98
394;964;2;34.99;69.98
395;43;2;6.49;12.98
396;675;2;2.99;5.98
396;494;3;14.99;44.97
397;923;3;1.99;5.97
398;322;2;3.29;6.58
398;476;3;22.99;68.97
398;198;1;4.19;4.19
399;521;1;39.99;39.99
400;522;1;4.49;4.49
400;799;1;15.99;15.99
400;698;2;14.99;29.98
400;86;2;49.99;99.98
401;431;1;4.99;4.99
402;373;1;54.99;54.99
402;52;3;24.99;74.97
402;81;1;30.00;30.00
403;151;2;39.99;79.98
403;502;1;4.99;4.99
404;33;1;14.99;14.99
405;274;1;4.99;4.99
405;426;1;25.00;25.00
405;242;2;24.99;49.98
405;790;1;49.99;49.99
406;673;2;49.99;99.98
406;113;2;15.99;31.98
406;351;1;89.99;89.99
407;283;1;34.99;34.99
408;716;3;3.99;11.97
409;486;2;249.99;499.98
409;190;2;5.29;10.58
409;956;3;6.99;20.97
409;450;2;4.99;9.98
410;835;2;3.79;7.58
411;270;2;29.99;59.98
411;853;2;2.49;4.98
412;449;2;2.49;4.98
412;964;2;34.99;69.98
412;553;3;3.49;10.47
412;182;3;22.99;68.97
413;495;1;19.99;19.99
414;252;2;14.99;29.98
415;250;1;14.99;14.99
415;831;1;4.29;4.29
415;814;1;15.99;15.99
415;993;1;39.99;39.99
416;286;3;2.79;8.37
417;917;1;3.49;3.49
418;677;2;89.99;179.98
418;26;2;3.49;6.98
419;901;2;4.99;9.98
419;676;3;14.99;44.97
420;413;3;22.99;68.97
421;343;2;5.49;10.98
422;626;2;2.99;5.98
422;335;1;39.99;39.99
423;649;3;3.99;11.97
423;152;3;24.99;74.97
423;647;1;29.99;29.99
424;887;2;89.99;179.98
425;419;3;24.99;74.97
426;769;3;3.49;10.47
427;905;3;99.99;299.97
428;727;3;1.89;5.67
429;619;1;24.99;24.99
430;319;1;3.79;3.79
430;725;3;3.29;9.87
431;96;3;19.99;59.97
431;900;1;12.99;12.99
431;329;1;99.99;99.99
432;906;1;99.99;99.99
433;93;2;29.99;59.98
433;685;2;5.99;11.98
434;872;1;3.29;3.29
435;953;2;3.29;6.58
435;889;2;29.99;59.98
436;746;1;89.99;89.99
436;351;3;89.99;269.97
436;70;2;7.99;15.98
436;404;3;3.99;11.97
437;764;3;299.99;899.97
437;892;1;5.99;5.99
438;827;1;12.99;12.99
438;89;2;3.99;7.98
439;1;3;3.49;10.47
440;45;1;19.99;19.99
440;578;2;59.99;119.98
440;83;2;39.99;79.98
441;730;1;19.99;19.99
441;702;3;19.99;59.97
441;563;2;59.99;119.98
442;159;2;19.99;39.98
442;34;1;18.99;18.99
442;65;3;24.99;74.97
443;698;2;14.99;29.98
444;914;2;49.99;99.98
445;388;1;5.99;5.99
446;687;3;1.99;5.97
447;94;1;3.49;3.49
447;941;1;3.49;3.49
448;600;1;8.99;8.99
448;195;2;199.99;399.98
448;263;1;299.99;299.99
449;202;2;15.99;31.98
450;425;2;29.99;59.98
450;88;1;4.29;4.29
451;317;1;149.99;149.99
451;486;2;249.99;499.98
452;48;2;19.99;39.98
453;754;3;4.99;14.97
453;573;2;19.99;39.98
454;401;1;5.99;5.99
454;893;2;4.49;8.98
455;763;3;2.49;7.47
455;633;2;79.99;159.98
455;304;1;89.99;89.99
456;1000;2;99.99;199.98
456;8;2;39.99;79.98
457;41;2;34.99;69.98
458;985;1;129.99;129.99
458;38;3;99.99;299.97
459;793;2;59.99;119.98
459;690;3;2.49;7.47
459;60;1;1.89;1.89
460;461;1;2.89;2.89
461;268;3;19.99;59.97
461;941;1;3.49;3.49
462;944;3;24.99;74.97
462;102;3;2.99;8.97
462;471;1;19.99;19.99
462;53;3;19.99;59.97
463;269;3;8.49;25.47
463;849;2;49.99;99.98
463;734;3;29.99;89.97
464;188;3;299.99;899.97
464;182;1;22.99;22.99
464;340;2;39.99;79.98
464;324;1;34.99;34.99
464;935;2;4.49;8.98
465;470;2;4.29;8.58
465;611;3;19.99;59.97
466;819;2;4.29;8.58
466;543;2;2.99;5.98
466;269;3;8.49;25.47
467;737;3;2.99;8.97
467;530;1;79.99;79.99
467;248;2;24.99;49.98
468;111;3;5.99;17.97
468;308;2;59.99;119.98
468;212;3;44.99;134.97
469;153;1;29.99;29.99
470;530;1;79.99;79.99
471;620;1;34.99;34.99
472;202;3;15.99;47.97
472;889;3;29.99;89.97
473;926;2;2.99;5.98
473;103;1;12.99;12.99
474;318;2;8.99;17.98
474;186;2;5.49;10.98
475;618;3;34.99;104.97
476;790;2;49.99;99.98
476;233;1;29.99;29.99
477;103;1;12.99;12.99
478;163;1;359.99;359.99
479;112;2;1.89;3.78
479;153;1;29.99;29.99
480;580;1;12.99;12.99
480;98;3;14.99;44.97
480;387;3;3.69;11.07
481;501;2;29.99;59.98
481;712;1;35.99;35.99
482;763;1;2.49;2.49
482;250;2;14.99;29.98
482;446;2;8.49;16.98
482;697;3;6.99;20.97
483;506;2;1.99;3.98
483;153;1;29.99;29.99
484;140;2;69.99;139.98
485;633;3;79.99;239.97
486;377;2;34.99;69.98
486;129;1;3.49;3.49
486;595;3;59.99;179.97
486;6;3;35.99;107.97
487;456;1;5.99;5.99
488;905;2;99.99;199.98
488;979;2;2.69;5.38
488;240;1;3.99;3.99
488;882;1;49.99;49.99
489;82;1;22.99;22.99
489;146;1;2.99;2.99
489;810;2;1.89;3.78
490;104;3;49.99;149.97
490;364;3;34.99;104.97
491;267;2;5.49;10.98
491;282;1;19.99;19.99
492;602;3;5.29;15.87
492;490;3;1.49;4.47
492;376;1;4.99;4.99
492;979;3;2.69;8.07
492;1000;1;99.99;99.99
493;356;3;4.99;14.97
493;501;1;29.99;29.99
494;487;3;79.99;239.97
495;406;3;34.99;104.97
495;518;3;5.49;16.47
495;496;1;79.99;79.99
496;693;1;6.49;6.49
496;147;2;59.99;119.98
496;67;1;14.99;14.99
497;803;3;14.99;44.97
497;581;1;6.99;6.99
498;60;3;1.89;5.67
